any,mes,periode,index_confianca,situacio_actual_financera,situacio_actual_economica,expectatives_financera,expectatives_economica
2019,2,2019-02,7.0,6.3,-9.0,18.3,8.1
2019,3,2019-03,10.6,9.7,-5.8,22.4,15.4
2019,4,2019-04,6.7,5.6,-12.0,17.4,8.4
2019,5,2019-05,8.3,6.5,-6.4,18.6,12.8
2019,6,2019-06,10.8,12.0,-6.0,22.0,12.6
2019,7,2019-07,6.5,7.3,-6.5,17.8,6.8
2019,8,2019-08,5.9,6.8,-15.5,19.0,2.7
2019,9,2019-09,4.7,7.4,-22.2,18.9,-1.7
2019,10,2019-10,2.1,4.9,-25.5,15.2,-5.1
2019,11,2019-11,1.9,5.4,-28.4,15.5,-4.4
2019,12,2019-12,1.0,4.9,-29.0,14.6,-5.8
2020,1,2020-01,1.0,4.3,-25.0,12.4,-3.2
2020,2,2020-02,4.0,5.2,-20.7,15.8,2.5
2020,3,2020-03,0.6,3.9,-19.4,14.6,-6.0
2020,4,2020-04,-20.7,1.0,-25.6,-11.8,-49.6
2020,5,2020-05,-18.8,-8.0,-56.2,-3.9,-39.4
2020,6,2020-06,-12.1,-11.4,-67.8,5.2,-18.6
2020,7,2020-07,-12.8,-9.7,-66.5,5.8,-24.9
2020,8,2020-08,-15.5,-13.6,-78.0,4.1,-28.8
2020,9,2020-09,-13.8,-12.7,-78.1,4.3,-27.0
2020,10,2020-10,-13.4,-9.9,-78.8,5.3,-26.8
2020,11,2020-11,-14.2,-13.3,-79.9,3.1,-24.4
2020,12,2020-12,-7.3,-14.0,-78.1,11.8,-5.8
2021,1,2021-01,-8.6,-9.7,-81.2,9.8,-16.0
2021,2,2021-02,-10.2,-13.2,-83.5,9.4,-18.6
2021,3,2021-03,-1.2,-8.2,-81.1,16.6,1.9
2021,4,2021-04,-0.4,-11.2,-76.3,17.4,6.5
2021,5,2021-05,2.0,-8.0,-73.9,17.0,13.0
2021,6,2021-06,3.0,-8.0,-68.6,15.8,17.5
2021,7,2021-07,3.2,-3.8,-64.5,17.6,14.0
2021,8,2021-08,3.9,-3.3,-52.9,16.9,14.8
2021,9,2021-09,3.1,-4.3,-49.4,15.8,15.9
2021,10,2021-10,4.6,-0.5,-42.9,17.4,16.0
2021,11,2021-11,-2.7,-4.7,-45.2,9.0,0.0
