serie_id,tipus,modo,indicador,any,mes,data,valor
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2018,5,2018-05-01,101.798
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2018,6,2018-06-01,103.98
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2018,7,2018-07-01,106.68
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2018,8,2018-08-01,93.074
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2018,9,2018-09-01,99.226
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2018,10,2018-10-01,101.797
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2018,11,2018-11-01,100.547
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2018,12,2018-12-01,113.3
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,1,2019-01-01,99.807
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,2,2019-02-01,91.441
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,3,2019-03-01,99.373
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,4,2019-04-01,99.456
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,5,2019-05-01,102.913
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,6,2019-06-01,104.562
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,7,2019-07-01,107.559
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,8,2019-08-01,93.891
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,9,2019-09-01,100.052
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,10,2019-10-01,103.35
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,11,2019-11-01,101.166
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2019,12,2019-12-01,112.435
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,1,2020-01-01,98.571
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,2,2020-02-01,91.672
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,3,2020-03-01,81.03
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,4,2020-04-01,65.976
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,5,2020-05-01,84.191
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,6,2020-06-01,97.605
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,7,2020-07-01,103.468
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,8,2020-08-01,90.308
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,9,2020-09-01,94.61
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,10,2020-10-01,96.859
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,11,2020-11-01,96.574
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2020,12,2020-12-01,109.419
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,1,2021-01-01,92.666
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,2,2021-02-01,86.833
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,3,2021-03-01,97.532
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,4,2021-04-01,94.934
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,5,2021-05-01,101.369
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,6,2021-06-01,102.315
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,7,2021-07-01,108.713
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,8,2021-08-01,94.696
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,9,2021-09-01,100.403
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,10,2021-10-01,102.515
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,11,2021-11-01,102.936
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2021,12,2021-12-01,115.087
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,1,2022-01-01,99.618
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,2,2022-02-01,92.384
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,3,2022-03-01,100.679
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,4,2022-04-01,103.831
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,5,2022-05-01,109.035
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,6,2022-06-01,110.558
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,7,2022-07-01,113.397
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,8,2022-08-01,100.665
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,9,2022-09-01,106.517
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,10,2022-10-01,108.745
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,11,2022-11-01,105.255
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2022,12,2022-12-01,119.505
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,1,2023-01-01,106.02
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,2,2023-02-01,98.084
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,3,2023-03-01,109.207
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,4,2023-04-01,111.346
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,5,2023-05-01,113.898
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,6,2023-06-01,114.33
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,7,2023-07-01,119.037
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,8,2023-08-01,106.813
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,9,2023-09-01,112.282
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,10,2023-10-01,114.361
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,11,2023-11-01,113.09
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2023,12,2023-12-01,127.499
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,1,2024-01-01,113.221
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,2,2024-02-01,104.513
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,3,2024-03-01,114.435
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,4,2024-04-01,116.58
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,5,2024-05-01,120.425
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,6,2024-06-01,122.324
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,7,2024-07-01,124.41
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,8,2024-08-01,112.132
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,9,2024-09-01,118.368
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,10,2024-10-01,119.919
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,11,2024-11-01,117.268
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2024,12,2024-12-01,132.194
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,1,2025-01-01,114.816
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,2,2025-02-01,109.787
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,3,2025-03-01,117.856
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,4,2025-04-01,120.784
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,5,2025-05-01,125.3
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,6,2025-06-01,129.014
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,7,2025-07-01,132.062
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,8,2025-08-01,117.559
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,9,2025-09-01,124.885
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,10,2025-10-01,126.234
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,11,2025-11-01,122.97
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2025,12,2025-12-01,137.155
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2026,1,2026-01-01,118.45
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2026,2,2026-02-01,113.582
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2026,3,2026-03-01,127.675
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Índice. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,index,2026,4,2026-04-01,127.888
Total Nacional. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). Empresas unilocalizadas. Variación anual. Datos ajustados de calendario.,nominal,Empresas unilocalizadas,var_anual,2016,5,2016-05-01,1.7
