any,trimestre,sexe,ocupats_cnae47_milers,aturats_seccio_g_milers,hores_setmana_seccio_g,periode
2016,3,total,1958.7,264.4,34.2,2016-T3
2016,4,dones,1211.2,170.0,33.2,2016-T4
2016,4,homes,702.2,102.4,38.0,2016-T4
2016,4,total,1913.4,272.4,35.6,2016-T4
2017,1,dones,1178.0,170.5,33.6,2017-T1
2017,1,homes,712.5,109.0,39.1,2017-T1
2017,1,total,1890.4,279.5,36.3,2017-T1
2017,2,dones,1196.1,165.3,33.0,2017-T2
2017,2,homes,720.7,116.7,39.0,2017-T2
2017,2,total,1916.7,282.0,35.9,2017-T2
2017,3,dones,1226.3,158.4,31.0,2017-T3
2017,3,homes,748.8,98.2,36.4,2017-T3
2017,3,total,1975.1,256.6,33.7,2017-T3
2017,4,dones,1155.7,149.1,32.5,2017-T4
2017,4,homes,713.6,104.0,38.2,2017-T4
2017,4,total,1869.3,253.1,35.4,2017-T4
2018,1,dones,1145.3,169.4,32.8,2018-T1
2018,1,homes,704.4,110.5,38.8,2018-T1
2018,1,total,1849.7,280.0,35.8,2018-T1
2018,2,dones,1190.0,148.5,33.2,2018-T2
2018,2,homes,730.4,94.4,39.3,2018-T2
2018,2,total,1920.4,242.9,36.2,2018-T2
2018,3,dones,1234.8,126.8,31.4,2018-T3
2018,3,homes,754.4,88.1,36.5,2018-T3
2018,3,total,1989.1,214.9,33.9,2018-T3
2018,4,dones,1217.1,128.2,32.6,2018-T4
2018,4,homes,722.3,86.5,38.1,2018-T4
2018,4,total,1939.4,214.7,35.3,2018-T4
2019,1,dones,1157.5,146.3,33.1,2019-T1
2019,1,homes,745.0,89.5,38.9,2019-T1
2019,1,total,1902.5,235.8,36.0,2019-T1
2019,2,dones,1177.7,133.6,32.5,2019-T2
2019,2,homes,740.9,103.2,38.3,2019-T2
2019,2,total,1918.6,236.8,35.4,2019-T2
2019,3,dones,1185.8,136.0,30.7,2019-T3
2019,3,homes,758.4,93.0,35.6,2019-T3
2019,3,total,1944.2,228.9,33.2,2019-T3
2019,4,dones,1185.1,136.0,32.6,2019-T4
2019,4,homes,776.2,103.0,37.9,2019-T4
2019,4,total,1961.3,239.0,35.2,2019-T4
2020,1,dones,1211.3,156.9,31.8,2020-T1
2020,1,homes,745.9,131.0,36.0,2020-T1
2020,1,total,1957.2,287.9,33.8,2020-T1
2020,2,dones,1116.2,168.9,23.6,2020-T2
2020,2,homes,697.8,133.3,27.4,2020-T2
2020,2,total,1814.0,302.2,25.5,2020-T2
2020,3,dones,1183.0,178.6,29.5,2020-T3
2020,3,homes,738.8,137.7,34.4,2020-T3
2020,3,total,1921.8,316.3,31.9,2020-T3
2020,4,dones,1152.9,165.1,31.7,2020-T4
2020,4,homes,732.7,106.7,36.3,2020-T4
2020,4,total,1885.6,271.8,34.0,2020-T4
2021,1,dones,1124.2,168.2,30.5,2021-T1
2021,1,homes,726.5,107.6,36.1,2021-T1
2021,1,total,1850.8,275.8,33.3,2021-T1
2021,2,dones,1105.0,150.9,31.9,2021-T2
2021,2,homes,722.0,94.4,37.6,2021-T2
2021,2,total,1827.1,245.3,34.8,2021-T2
2021,3,dones,1151.4,122.7,29.0,2021-T3
2021,3,homes,739.2,102.1,34.0,2021-T3
2021,3,total,1890.6,224.8,31.6,2021-T3
2021,4,dones,1115.1,100.6,31.2,2021-T4
2021,4,homes,744.3,88.4,36.1,2021-T4
2021,4,total,1859.4,189.0,33.7,2021-T4
2022,1,dones,1077.6,121.9,32.0,2022-T1
2022,1,homes,705.6,105.0,37.2,2022-T1
2022,1,total,1783.1,226.9,34.7,2022-T1
2022,2,dones,1124.9,100.6,31.2,2022-T2
2022,2,homes,710.4,86.1,36.5,2022-T2
2022,2,total,1835.2,186.7,33.9,2022-T2
2022,3,dones,1145.4,130.3,29.9,2022-T3
2022,3,homes,709.3,90.9,34.2,2022-T3
2022,3,total,1854.7,221.2,32.0,2022-T3
2022,4,dones,1165.8,107.0,31.1,2022-T4
2022,4,homes,703.7,87.6,36.0,2022-T4
2022,4,total,1869.6,194.6,33.5,2022-T4
2023,1,dones,1174.0,133.8,32.2,2023-T1
2023,1,homes,666.0,94.0,37.1,2023-T1
2023,1,total,1839.9,227.8,34.6,2023-T1
2023,2,dones,1210.8,131.7,31.5,2023-T2
2023,2,homes,696.0,86.6,36.0,2023-T2
2023,2,total,1906.7,218.3,33.7,2023-T2
2023,3,dones,1259.4,127.5,29.4,2023-T3
2023,3,homes,757.3,93.0,33.6,2023-T3
2023,3,total,2016.6,220.5,31.5,2023-T3
2023,4,dones,1194.5,118.3,31.2,2023-T4
2023,4,homes,744.5,86.3,35.6,2023-T4
2023,4,total,1939.0,204.7,33.4,2023-T4
2024,1,dones,1172.4,139.8,31.6,2024-T1
2024,1,homes,748.6,97.9,36.0,2024-T1
2024,1,total,1921.0,237.7,33.9,2024-T1
2024,2,dones,1200.7,115.7,31.9,2024-T2
2024,2,homes,761.9,103.0,37.2,2024-T2
2024,2,total,1962.6,218.7,34.6,2024-T2
2024,3,dones,1246.1,116.5,29.1,2024-T3
2024,3,homes,785.8,81.3,33.3,2024-T3
2024,3,total,2031.9,197.8,31.2,2024-T3
2024,4,dones,1198.0,103.2,31.2,2024-T4
2024,4,homes,766.0,101.1,35.9,2024-T4
2024,4,total,1964.0,204.2,33.6,2024-T4
2025,1,dones,1186.6,126.0,31.3,2025-T1
2025,1,homes,769.6,104.3,36.0,2025-T1
2025,1,total,1956.2,230.3,33.7,2025-T1
2025,2,dones,1239.1,117.1,30.7,2025-T2
2025,2,homes,799.3,78.9,35.7,2025-T2
2025,2,total,2038.4,196.0,33.2,2025-T2
2025,3,dones,1235.8,134.6,29.0,2025-T3
2025,3,homes,843.0,89.9,33.1,2025-T3
2025,3,total,2078.7,224.5,31.1,2025-T3
2025,4,dones,1241.1,107.9,31.1,2025-T4
2025,4,homes,810.2,75.2,35.7,2025-T4
2025,4,total,2051.2,183.2,33.4,2025-T4
2026,1,dones,1211.0,126.0,31.3,2026-T1
2026,1,homes,762.7,89.3,35.4,2026-T1
2026,1,total,1973.7,215.3,33.4,2026-T1
2026,2,dones,1233.1,107.4,31.3,2026-T2
2026,2,homes,756.1,73.8,36.0,2026-T2
2026,2,total,1989.2,181.2,33.7,2026-T2
