municipi,any_dirce,total_empreses,empreses_g_i,any_pob,poblacio,gi_per_1000hab,index_capacitat
Torelló,2025,930,265.0,2025,15334,17.281857310551715,17.62850302151912
"Torre de Claramunt, La",2025,227,63.0,2025,4158,15.151515151515152,
Torrelavit,2025,110,29.0,2025,1572,18.447837150127224,
Torrelles de Foix,2025,124,36.0,2025,2746,13.109978150036417,
Torrelles de Llobregat,2025,430,135.0,2025,6170,21.88006482982172,17.65763383865125
Ullastrell,2025,165,62.0,2025,2171,28.55826807922616,
Vacarisses,2025,510,132.0,2025,7729,17.07853538620779,12.518925995207953
Vallbona d'Anoia,2025,78,31.0,2025,1424,21.769662921348317,
Vallcebre,2025,29,,2025,260,,
Vallgorguina,2025,263,67.0,2025,3261,20.54584483287335,
Vallirana,2025,1108,407.0,2025,16245,25.05386272699292,28.706602212163233
Vallromanes,2025,297,83.0,2025,2778,29.877609791216702,
Veciana,2025,19,,2025,168,,
Vic,2025,3846,1193.0,2025,50796,23.486101267816366,34.63934143141715
Vilada,2025,47,,2025,432,,
Viladecavalls,2025,625,184.0,2025,7817,23.538441857490085,21.554499279809622
Viladecans,2025,3746,1504.0,2025,67587,22.252800094692766,34.98831134280442
Vilanova del Camí,2025,609,180.0,2025,12936,13.91465677179963,11.417016133988309
Vilanova de Sau,2025,24,,2025,325,,
Vilobí del Penedès,2025,90,23.0,2025,1154,19.93067590987868,
Vilafranca del Penedès,2025,2874,909.0,2025,42607,21.334522496303425,30.496416390013415
Vilalba Sasserra,2025,51,,2025,794,,
Vilanova i la Geltrú,2025,4765,1368.0,2025,71641,19.095210842953055,31.04667252088042
Viver i Serrateix,2025,20,,2025,178,,
Rupit i Pruit,2025,52,,2025,280,,
Vilanova del Vallès,2025,548,186.0,2025,5693,32.67170209028632,31.10464947771417
Sant Julià de Cerdanyola,2025,21,,2025,234,,
Badia del Vallès,2025,299,138.0,2025,13060,10.566615620214396,6.0763964747785115
"Palma de Cervelló, La",2025,278,82.0,2025,3056,26.832460732984295,
Adrada de Haza,2025,9,,2025,200,,
Aguas Cándidas,2025,6,,2025,61,,
Albillos,2025,15,,2025,220,,
Alfoz de Bricia,2025,4,,2025,68,,
Alfoz de Santa Gadea,2025,8,,2025,102,,
Altable,2025,4,,2025,44,,
"Altos, Los",2025,16,,2025,177,,
Ameyugo,2025,9,,2025,107,,
Anguix,2025,10,,2025,166,,
Aranda de Duero,2025,2161,850.0,2025,33956,25.03239486394157,33.86060904107213
Arandilla,2025,6,,2025,157,,
Arauzo de Miel,2025,27,,2025,260,,
Arauzo de Salce,2025,5,,2025,44,,
Arcos,2025,88,30.0,2025,1823,16.456390565002742,
Arenillas de Riopisuerga,2025,11,,2025,156,,
Arija,2025,14,,2025,115,,
Arlanzón,2025,32,,2025,425,,
Atapuerca,2025,22,,2025,178,,
"Ausines, Los",2025,4,,2025,143,,
Bahabón de Esgueva,2025,7,,2025,80,,
"Balbases, Los",2025,23,,2025,298,,
Baños de Valdearados,2025,18,,2025,322,,
Barbadillo de Herreros,2025,5,,2025,103,,
Barbadillo del Mercado,2025,10,,2025,134,,
"Barrios de Bureba, Los",2025,8,,2025,179,,
Basconcillos del Tozo,2025,13,,2025,276,,
Belorado,2025,155,60.0,2025,1823,32.912781130005484,
Berlangas de Roa,2025,13,,2025,204,,
Briviesca,2025,418,153.0,2025,6728,22.74078478002378,19.43024484249731
Bugedo,2025,15,,2025,193,,
Buniel,2025,32,,2025,632,,
Burgos,2025,11815,3673.0,2025,177402,20.704388902041693,39.658111283709374
Busto de Bureba,2025,6,,2025,140,,
Cabañes de Esgueva,2025,7,,2025,145,,
Cavia,2025,25,,2025,246,,
Caleruega,2025,30,,2025,385,,
Campillo de Aranda,2025,10,,2025,175,,
Campolara,2025,4,,2025,46,,
Canicosa de la Sierra,2025,27,,2025,410,,
Carazo,2025,4,,2025,42,,
Carcedo de Burgos,2025,39,,2025,513,,
Cardeñadijo,2025,102,26.0,2025,1445,17.99307958477509,
Cardeñajimeno,2025,90,30.0,2025,1185,25.31645569620253,
Cardeñuela Riopico,2025,7,,2025,106,,
Castrillo de la Reina,2025,9,,2025,159,,
Castrillo de la Vega,2025,36,,2025,626,,
Castrillo del Val,2025,65,,2025,858,,
Castrojeriz,2025,93,,2025,794,,
Cayuela,2025,13,,2025,186,,
Celada del Camino,2025,6,,2025,91,,
Cerezo de Río Tirón,2025,27,,2025,467,,
Ciadoncha,2025,4,,2025,77,,
Cilleruelo de Abajo,2025,5,,2025,209,,
Ciruelos de Cervera,2025,8,,2025,90,,
Cogollos,2025,34,,2025,687,,
Condado de Treviño,2025,75,29.0,2025,1468,19.754768392370572,
Coruña del Conde,2025,5,,2025,95,,
Covarrubias,2025,61,,2025,501,,
Cubo de Bureba,2025,5,,2025,102,,
Cuevas de San Clemente,2025,5,,2025,52,,
Espinosa de Cervera,2025,6,,2025,81,,
Espinosa del Camino,2025,6,,2025,43,,
Espinosa de los Monteros,2025,155,65.0,2025,1627,39.95082974800246,
Estépar,2025,25,,2025,646,,
Frandovínez,2025,5,,2025,95,,
Fresneña,2025,9,,2025,68,,
Fresnillo de las Dueñas,2025,43,,2025,703,,
Fresno de Río Tirón,2025,10,,2025,156,,
Fresno de Rodilla,2025,4,,2025,49,,
Frías,2025,37,,2025,258,,
Fuentecén,2025,14,,2025,246,,
Fuentelcésped,2025,13,,2025,290,,
Fuentenebro,2025,4,,2025,137,,
Fuentespina,2025,38,,2025,833,,
Gumiel de Izán,2025,44,,2025,587,,
Gumiel de Mercado,2025,17,,2025,376,,
Hacinas,2025,14,,2025,145,,
Hontoria de la Cantera,2025,6,,2025,172,,
Hontoria del Pinar,2025,45,,2025,613,,
Hontoria de Valdearados,2025,13,,2025,152,,
Hornillos del Camino,2025,7,,2025,44,,
"Horra, La",2025,21,,2025,295,,
Hortigüela,2025,7,,2025,103,,
Hoyales de Roa,2025,7,,2025,208,,
Huérmeces,2025,10,,2025,159,,
Huerta de Arriba,2025,7,,2025,121,,
Huerta de Rey,2025,71,,2025,889,,
Humada,2025,6,,2025,114,,
Ibeas de Juarros,2025,111,41.0,2025,1492,27.4798927613941,
Iglesias,2025,4,,2025,136,,
Isar,2025,17,,2025,279,,
Junta de Traslaloma,2025,6,,2025,118,,
Junta de Villalba de Losa,2025,10,,2025,79,,
Jurisdicción de Lara,2025,5,,2025,39,,
Jurisdicción de San Zadornil,2025,7,,2025,62,,
Lerma,2025,254,104.0,2025,2629,39.5587675922404,
Madrigalejo del Monte,2025,15,,2025,160,,
Mambrilla de Castrejón,2025,7,,2025,105,,
Mecerreyes,2025,15,,2025,176,,
Medina de Pomar,2025,590,205.0,2025,6190,33.117932148626814,32.251193326125765
Melgar de Fernamental,2025,113,48.0,2025,1496,32.0855614973262,
Merindad de Cuesta-Urria,2025,25,,2025,263,,
Merindad de Montija,2025,59,,2025,723,,
Merindad de Sotoscueva,2025,45,,2025,399,,
Merindad de Valdeporres,2025,50,,2025,412,,
Merindad de Valdivielso,2025,44,,2025,384,,
Milagros,2025,26,,2025,409,,
Miranda de Ebro,2025,1830,711.0,2025,36622,19.414559554366228,26.777971468461665
Modúbar de la Emparedada,2025,41,,2025,773,,
Monasterio de la Sierra,2025,4,,2025,38,,
Monasterio de Rodilla,2025,14,,2025,171,,
Montorio,2025,16,,2025,138,,
Moradillo de Roa,2025,14,,2025,167,,
Nava de Roa,2025,13,,2025,202,,
Neila,2025,4,,2025,113,,
Olmedillo de Roa,2025,17,,2025,188,,
Oña,2025,57,,2025,938,,
Oquillas,2025,5,,2025,52,,
Orbaneja Riopico,2025,13,,2025,341,,
Padilla de Arriba,2025,5,,2025,86,,
Palacios de la Sierra,2025,47,,2025,662,,
Palazuelos de la Sierra,2025,5,,2025,95,,
Pampliega,2025,10,,2025,281,,
Pancorbo,2025,22,,2025,431,,
Pardilla,2025,6,,2025,109,,
Pedrosa de Duero,2025,30,,2025,458,,
Pedrosa del Príncipe,2025,11,,2025,155,,
Pedrosa de Río Úrbel,2025,17,,2025,262,,
Peñaranda de Duero,2025,28,,2025,470,,
Peral de Arlanza,2025,7,,2025,169,,
Pineda de la Sierra,2025,9,,2025,92,,
Pineda Trasmonte,2025,6,,2025,95,,
Pinilla de los Barruecos,2025,6,,2025,100,,
Poza de la Sal,2025,21,,2025,278,,
Prádanos de Bureba,2025,4,,2025,54,,
Pradoluengo,2025,93,28.0,2025,1090,25.688073394495415,
Presencio,2025,5,,2025,212,,
"Puebla de Arganzón, La",2025,28,,2025,565,,
Puentedura,2025,5,,2025,117,,
Quemada,2025,8,,2025,242,,
Quintana del Pidio,2025,17,,2025,150,,
Quintanaortuño,2025,22,,2025,297,,
Quintanapalla,2025,6,,2025,123,,
Quintanar de la Sierra,2025,113,41.0,2025,1474,27.815468113975577,
Quintanilla de la Mata,2025,4,,2025,109,,
"Quintanillas, Las",2025,27,,2025,386,,
Quintanilla Vivar,2025,51,,2025,890,,
Rabanera del Pinar,2025,7,,2025,94,,
Rabé de las Calzadas,2025,13,,2025,259,,
Redecilla del Camino,2025,5,,2025,98,,
Redecilla del Campo,2025,4,,2025,65,,
Regumiel de la Sierra,2025,27,,2025,304,,
"Revilla y Ahedo, La",2025,6,,2025,97,,
Revillarruz,2025,43,,2025,621,,
Revilla Vallejera,2025,15,,2025,112,,
Roa,2025,135,59.0,2025,2276,25.922671353251317,
Rojas,2025,4,,2025,62,,
Rubena,2025,19,,2025,207,,
Rucandio,2025,6,,2025,72,,
Salas de Bureba,2025,12,,2025,129,,
Salas de los Infantes,2025,178,77.0,2025,1959,39.305768249106684,
Saldaña de Burgos,2025,17,,2025,203,,
San Adrián de Juarros,2025,7,,2025,84,,
San Juan del Monte,2025,8,,2025,163,,
San Mamés de Burgos,2025,17,,2025,323,,
San Martín de Rubiales,2025,8,,2025,137,,
San Millán de Lara,2025,4,,2025,61,,
Santa Cecilia,2025,6,,2025,107,,
Santa Cruz de la Salceda,2025,4,,2025,148,,
Santa Cruz del Valle Urbión,2025,8,,2025,94,,
Santa Gadea del Cid,2025,11,,2025,180,,
Santa María del Campo,2025,41,,2025,508,,
Santa María del Mercadillo,2025,6,,2025,119,,
Santa María Rivarredonda,2025,5,,2025,97,,
Santibáñez del Val,2025,4,,2025,64,,
Santo Domingo de Silos,2025,29,,2025,251,,
Sargentes de la Lora,2025,15,,2025,130,,
Sarracín,2025,18,,2025,261,,
Sasamón,2025,68,,2025,898,,
Sotillo de la Ribera,2025,31,,2025,468,,
Sotragero,2025,23,,2025,300,,
Sotresgudo,2025,19,,2025,413,,
Tamarón,2025,4,,2025,52,,
Tardajos,2025,43,,2025,862,,
Terradillos de Esgueva,2025,4,,2025,58,,
Tordómar,2025,13,,2025,290,,
Torrecilla del Monte,2025,7,,2025,79,,
Torregalindo,2025,4,,2025,130,,
Torresandino,2025,22,,2025,565,,
Tórtoles de Esgueva,2025,24,,2025,362,,
Tosantos,2025,4,,2025,48,,
Trespaderne,2025,70,,2025,721,,
Tubilla del Agua,2025,8,,2025,126,,
Tubilla del Lago,2025,17,,2025,164,,
Vadocondes,2025,21,,2025,368,,
Valdeande,2025,4,,2025,103,,
Valdezate,2025,4,,2025,115,,
Valdorros,2025,19,,2025,377,,
Valle de Manzanedo,2025,9,,2025,115,,
Valle de Mena,2025,314,114.0,2025,4155,27.436823104693143,
Valle de Oca,2025,8,,2025,160,,
Valle de Tobalina,2025,72,,2025,877,,
Valle de Valdebezana,2025,61,,2025,479,,
Valle de Valdelaguna,2025,10,,2025,187,,
Valle de Valdelucio,2025,14,,2025,342,,
Valle de Zamanzas,2025,7,,2025,46,,
"Vid y Barrios, La",2025,15,,2025,237,,
Viloria de Rioja,2025,5,,2025,38,,
Vilviestre del Pinar,2025,49,,2025,511,,
Villadiego,2025,108,40.0,2025,1453,27.529249827942188,
Villaescusa de Roa,2025,6,,2025,95,,
Villaescusa la Sombría,2025,4,,2025,61,,
Villaespasa,2025,4,,2025,21,,
Villafranca Montes de Oca,2025,7,,2025,117,,
Villafruela,2025,8,,2025,140,,
Villagalijo,2025,8,,2025,52,,
Villagonzalo Pedernales,2025,204,86.0,2025,1903,45.19180241723594,
Villahoz,2025,14,,2025,262,,
Villalba de Duero,2025,41,,2025,720,,
Villalbilla de Burgos,2025,142,49.0,2025,1554,31.531531531531527,
Villalmanzo,2025,40,,2025,409,,
Villamayor de los Montes,2025,9,,2025,157,,
Villamayor de Treviño,2025,4,,2025,59,,
Villangómez,2025,9,,2025,229,,
Villanueva de Argaño,2025,8,,2025,117,,
Villanueva de Gumiel,2025,16,,2025,281,,
Villaquirán de los Infantes,2025,16,,2025,154,,
Villariezo,2025,97,,2025,731,,
Villasandino,2025,9,,2025,179,,
Villasur de Herreros,2025,12,,2025,269,,
Villatuelda,2025,4,,2025,41,,
Villayerno Morquillas,2025,10,,2025,208,,
Villegas,2025,5,,2025,83,,
Vizcaínos,2025,4,,2025,41,,
Zael,2025,6,,2025,117,,
Zazuar,2025,14,,2025,198,,
Quintanilla del Agua y Tordueles,2025,16,,2025,336,,
Valle de Santibáñez,2025,29,,2025,482,,
Villarcayo de Merindad de Castilla la Vieja,2025,449,144.0,2025,4103,35.096271021204,
Valle de las Navas,2025,22,,2025,549,,
Valle de Sedano,2025,43,,2025,402,,
Merindad de Río Ubierna,2025,78,22.0,2025,1400,15.714285714285715,
Alfoz de Quintanadueñas,2025,131,52.0,2025,2158,24.096385542168676,
Valle de Losa,2025,37,,2025,486,,
Abadía,2025,15,,2025,337,,
Abertura,2025,12,,2025,362,,
Acebo,2025,47,,2025,567,,
Acehúche,2025,50,,2025,808,,
Aceituna,2025,18,,2025,569,,
Ahigal,2025,90,47.0,2025,1340,35.07462686567165,
Albalá,2025,33,,2025,647,,
Alcántara,2025,73,33.0,2025,1329,24.830699774266364,
Alcollarín,2025,8,,2025,259,,
Alcuéscar,2025,121,66.0,2025,2447,26.971802206783817,
Aldeacentenera,2025,41,,2025,603,,
Aldea del Cano,2025,32,,2025,609,,
"Aldea del Obispo, La",2025,15,,2025,290,,
Aldeanueva de la Vera,2025,86,34.0,2025,1966,17.293997965412007,
Aldeanueva del Camino,2025,70,,2025,696,,
Aldehuela de Jerte,2025,19,,2025,348,,
Alía,2025,36,,2025,722,,
Aliseda,2025,93,40.0,2025,1726,23.174971031286212,
Almaraz,2025,60,18.0,2025,1594,11.292346298619824,
Almoharín,2025,84,36.0,2025,1771,20.32749858836815,
Arroyo de la Luz,2025,289,121.0,2025,5495,22.02001819836215,17.03325262937389
Arroyomolinos de la Vera,2025,23,,2025,424,,
Arroyomolinos,2025,2779,904.0,2025,816,1107.843137254902,
Baños de Montemayor,2025,61,,2025,738,,
Barrado,2025,20,,2025,383,,
Belvís de Monroy,2025,39,,2025,774,,
Berrocalejo,2025,6,,2025,120,,
Berzocana,2025,17,,2025,375,,
Bohonal de Ibor,2025,28,,2025,488,,
Botija,2025,10,,2025,184,,
Brozas,2025,109,41.0,2025,1718,23.864959254947614,
Cabañas del Castillo,2025,18,,2025,406,,
Cabezabellosa,2025,20,,2025,317,,
Cabezuela del Valle,2025,106,49.0,2025,2049,23.914104441190826,
Cabrero,2025,13,,2025,353,,
Cáceres,2025,6696,2113.0,2025,96651,21.86216386793722,36.972797980692455
Cachorrilla,2025,4,,2025,83,,
Cadalso,2025,19,,2025,394,,
Calzadilla,2025,15,,2025,450,,
Caminomorisco,2025,65,31.0,2025,1097,28.258887876025522,
Campillo de Deleitosa,2025,4,,2025,82,,
Campo Lugar,2025,38,,2025,790,,
Cañamero,2025,127,55.0,2025,1578,34.854245880861846,
Cañaveral,2025,71,35.0,2025,995,35.175879396984925,
Carbajo,2025,5,,2025,183,,
Carcaboso,2025,77,31.0,2025,1076,28.810408921933085,
Carrascalejo,2025,23,,2025,223,,
Casar de Cáceres,2025,263,106.0,2025,4511,23.49811571713589,
Casar de Palomero,2025,43,,2025,991,,
Casares de las Hurdes,2025,13,,2025,362,,
Casas de Don Antonio,2025,11,,2025,167,,
Casas de Don Gómez,2025,20,,2025,342,,
Casas del Castañar,2025,40,,2025,583,,
Casas del Monte,2025,44,,2025,761,,
Casas de Millán,2025,24,,2025,536,,
Casas de Miravete,2025,8,,2025,106,,
Casatejada,2025,55,24.0,2025,1393,17.22900215362527,
Casillas de Coria,2025,13,,2025,354,,
Castañar de Ibor,2025,57,25.0,2025,1020,24.509803921568626,
Ceclavín,2025,77,34.0,2025,1769,19.219898247597513,
Cedillo,2025,17,,2025,453,,
Cerezo,2025,5,,2025,147,,
Cilleros,2025,77,35.0,2025,1547,22.62443438914027,
Collado de la Vera,2025,16,,2025,274,,
Conquista de la Sierra,2025,9,,2025,193,,
Coria,2025,780,310.0,2025,12001,25.831180734938755,27.599368247458145
Cuacos de Yuste,2025,63,,2025,809,,
"Cumbre, La",2025,30,,2025,815,,
Deleitosa,2025,60,,2025,681,,
Descargamaría,2025,4,,2025,105,,
Eljas,2025,46,,2025,827,,
Escurial,2025,28,,2025,855,,
Fresnedoso de Ibor,2025,11,,2025,236,,
Galisteo,2025,45,,2025,849,,
Garciaz,2025,24,,2025,666,,
"Garganta, La",2025,22,,2025,353,,
Garganta la Olla,2025,47,,2025,874,,
Gargantilla,2025,13,,2025,346,,
Gargüera,2025,4,,2025,187,,
Garrovillas de Alconétar,2025,80,37.0,2025,1941,19.062339000515202,
Garvín,2025,7,,2025,101,,
Gata,2025,70,27.0,2025,1335,20.224719101123593,
"Gordo, El",2025,14,,2025,363,,
"Granja, La",2025,11,,2025,313,,
Guadalupe,2025,112,68.0,2025,1722,39.48896631823461,
Guijo de Coria,2025,6,,2025,180,,
Guijo de Galisteo,2025,79,52.0,2025,1460,35.61643835616438,
Guijo de Granadilla,2025,30,,2025,497,,
Guijo de Santa Bárbara,2025,25,,2025,386,,
Herguijuela,2025,15,,2025,264,,
Hernán-Pérez,2025,18,,2025,401,,
Herrera de Alcántara,2025,9,,2025,225,,
Herreruela,2025,9,,2025,322,,
Hervás,2025,307,129.0,2025,3898,33.09389430477168,
Higuera de Albalat,2025,7,,2025,102,,
Hinojal,2025,18,,2025,391,,
Holguera,2025,29,,2025,588,,
Hoyos,2025,60,,2025,848,,
Huélaga,2025,8,,2025,203,,
Ibahernando,2025,30,,2025,538,,
Jaraicejo,2025,27,,2025,418,,
Jaraíz de la Vera,2025,402,176.0,2025,6831,25.764895330112722,23.551606670137698
Jarandilla de la Vera,2025,270,109.0,2025,2894,37.66413268832066,
Jarilla,2025,6,,2025,127,,
Jerte,2025,76,34.0,2025,1189,28.59545836837679,
Ladrillar,2025,10,,2025,177,,
Logrosán,2025,100,39.0,2025,1852,21.058315334773216,
Losar de la Vera,2025,192,87.0,2025,2799,31.082529474812432,
Madrigal de la Vera,2025,134,58.0,2025,1536,37.760416666666664,
Madrigalejo,2025,71,36.0,2025,1710,21.052631578947366,
Madroñera,2025,158,60.0,2025,2349,25.54278416347382,
Majadas,2025,31,14.0,2025,1281,10.92896174863388,
Malpartida de Cáceres,2025,247,98.0,2025,4027,24.335733796871118,
Malpartida de Plasencia,2025,292,103.0,2025,4666,22.074582083154734,
Marchagaz,2025,6,,2025,231,,
Mata de Alcántara,2025,13,,2025,300,,
Membrío,2025,29,,2025,587,,
Mesas de Ibor,2025,4,,2025,146,,
Miajadas,2025,640,312.0,2025,9396,33.205619412515965,35.294261595486304
Millanes,2025,7,,2025,239,,
Mirabel,2025,29,,2025,620,,
Mohedas de Granadilla,2025,45,,2025,817,,
Monroy,2025,40,,2025,909,,
Montánchez,2025,109,49.0,2025,1597,30.682529743268628,
Montehermoso,2025,380,188.0,2025,5552,33.86167146974063,32.41421125932295
Moraleja,2025,528,241.0,2025,6562,36.72660774154221,37.131754594618805
Morcillo,2025,14,,2025,378,,
Navaconcejo,2025,125,53.0,2025,2037,26.018654884634266,
Navalmoral de la Mata,2025,1079,419.0,2025,17352,24.147072383586906,27.970210889578848
Navalvillar de Ibor,2025,12,,2025,374,,
Navas del Madroño,2025,68,33.0,2025,1254,26.31578947368421,
Navezuelas,2025,31,,2025,668,,
Nuñomoral,2025,48,23.0,2025,1196,19.230769230769234,
Oliva de Plasencia,2025,20,,2025,290,,
Palomero,2025,24,,2025,450,,
Pasarón de la Vera,2025,29,,2025,588,,
Pedroso de Acim,2025,7,,2025,90,,
Peraleda de la Mata,2025,66,25.0,2025,1444,17.31301939058172,
Peraleda de San Román,2025,11,,2025,268,,
Perales del Puerto,2025,52,,2025,874,,
Pescueza,2025,6,,2025,150,,
"Pesga, La",2025,32,,2025,950,,
Piedras Albas,2025,4,,2025,125,,
Pinofranqueado,2025,115,43.0,2025,1783,24.11665731912507,
Piornal,2025,57,29.0,2025,1443,20.097020097020096,
Plasencia,2025,2755,992.0,2025,40132,24.71842918369381,34.62080305101095
Plasenzuela,2025,24,,2025,536,,
Portaje,2025,8,,2025,379,,
Portezuelo,2025,9,,2025,196,,
Pozuelo de Zarzón,2025,20,,2025,430,,
Puerto de Santa Cruz,2025,12,,2025,268,,
Rebollar,2025,4,,2025,36,,
Riolobos,2025,58,36.0,2025,1173,30.69053708439898,
Robledillo de Gata,2025,5,,2025,91,,
Robledillo de la Vera,2025,13,,2025,252,,
Robledillo de Trujillo,2025,9,,2025,394,,
Robledollano,2025,20,,2025,325,,
Romangordo,2025,7,,2025,240,,
Ruanes,2025,4,,2025,82,,
Salorino,2025,24,,2025,522,,
Salvatierra de Santiago,2025,8,,2025,229,,
San Martín de Trevejo,2025,31,,2025,693,,
Santa Ana,2025,9,,2025,302,,
Santa Cruz de la Sierra,2025,17,,2025,317,,
Santa Cruz de Paniagua,2025,11,,2025,286,,
Santa Marta de Magasca,2025,8,,2025,291,,
Santiago de Alcántara,2025,16,,2025,454,,
Santiago del Campo,2025,8,,2025,250,,
Santibáñez el Alto,2025,12,,2025,386,,
Santibáñez el Bajo,2025,47,,2025,711,,
Saucedilla,2025,38,,2025,1002,,
Segura de Toro,2025,12,,2025,190,,
Serradilla,2025,66,31.0,2025,1448,21.408839779005525,
Serrejón,2025,14,,2025,410,,
Sierra de Fuentes,2025,120,44.0,2025,2081,21.14368092263335,
Talaván,2025,36,,2025,775,,
Talaveruela de la Vera,2025,17,,2025,303,,
Talayuela,2025,398,177.0,2025,7439,23.793520634493884,21.54647418527417
Tejeda de Tiétar,2025,35,,2025,761,,
Tornavacas,2025,65,,2025,989,,
"Torno, El",2025,45,,2025,805,,
Torrecilla de los Ángeles,2025,33,,2025,642,,
Torrecillas de la Tiesa,2025,56,20.0,2025,1038,19.267822736030826,
Torre de Don Miguel,2025,32,,2025,481,,
Torre de Santa María,2025,24,,2025,508,,
Torrejoncillo,2025,159,61.0,2025,2743,22.23842508202698,
Torrejón el Rubio,2025,36,,2025,537,,
Torremenga,2025,40,,2025,620,,
Torremocha,2025,19,,2025,742,,
Torreorgaz,2025,96,47.0,2025,1641,28.641072516758072,
Torrequemada,2025,46,,2025,564,,
Trujillo,2025,661,257.0,2025,8611,29.84554639414702,30.445670787287746
Valdastillas,2025,23,,2025,332,,
Valdecañas de Tajo,2025,4,,2025,96,,
Valdefuentes,2025,72,41.0,2025,1074,38.17504655493482,
Valdehúncar,2025,5,,2025,188,,
Valdelacasa de Tajo,2025,27,,2025,338,,
Valdemorales,2025,7,,2025,218,,
Valdeobispo,2025,31,,2025,617,,
Valencia de Alcántara,2025,329,150.0,2025,5150,29.12621359223301,25.914819461913318
Valverde de la Vera,2025,27,,2025,428,,
Valverde del Fresno,2025,143,67.0,2025,2143,31.264582361175922,
Viandar de la Vera,2025,9,,2025,216,,
Villa del Campo,2025,15,,2025,435,,
Villa del Rey,2025,4,,2025,118,,
Villamesías,2025,7,,2025,271,,
Villamiel,2025,24,,2025,379,,
Villanueva de la Sierra,2025,18,,2025,478,,
Villanueva de la Vera,2025,207,70.0,2025,2108,33.20683111954459,
Villar del Pedroso,2025,27,,2025,547,,
Villar de Plasencia,2025,15,,2025,224,,
Villasbuenas de Gata,2025,31,,2025,481,,
Zarza de Granadilla,2025,156,74.0,2025,1815,40.77134986225895,
Zarza de Montánchez,2025,20,,2025,504,,
Zarza la Mayor,2025,44,19.0,2025,1096,17.335766423357665,
Zorita,2025,51,28.0,2025,1223,22.894521668029434,
Rosalejo,2025,64,30.0,2025,1268,23.65930599369085,
Vegaviana,2025,39,,2025,837,,
Alagón del Río,2025,40,,2025,919,,
Alcalá de los Gazules,2025,245,126.0,2025,5230,24.091778202676863,19.466952911810225
Alcalá del Valle,2025,207,107.0,2025,4864,21.998355263157894,
Algar,2025,80,42.0,2025,1452,28.925619834710744,
Algeciras,2025,5511,2439.0,2025,126589,19.267076918215643,35.28935721999028
Algodonales,2025,240,131.0,2025,5425,24.147465437788018,19.79825290179815
Arcos de la Frontera,2025,1461,637.0,2025,31267,20.372917133079604,26.999599657371757
Barbate,2025,1136,594.0,2025,22635,26.242544731610337,32.597057065967995
"Barrios, Los",2025,1345,593.0,2025,24449,24.254570739089534,30.523038361513617
Benaocaz,2025,33,,2025,742,,
Bornos,2025,286,150.0,2025,7510,19.973368841544605,16.420343056619092
"Bosque, El",2025,145,63.0,2025,2242,28.099910793933986,
Cádiz,2025,5851,2061.0,2025,109950,18.74488403819918,33.564021867163206
Castellar de la Frontera,2025,138,66.0,2025,2984,22.117962466487935,
Conil de la Frontera,2025,1921,785.0,2025,24102,32.56991121068791,41.12029374139054
Chiclana de la Frontera,2025,5244,1955.0,2025,90864,21.515671773199507,36.067093827553386
Chipiona,2025,1173,628.0,2025,20076,31.281131699541742,38.214947128560325
Espera,2025,125,59.0,2025,3755,15.712383488681759,
"Gastor, El",2025,95,47.0,2025,1675,28.05970149253731,
Grazalema,2025,123,66.0,2025,1977,33.383915022761755,
Jerez de la Frontera,2025,11566,4505.0,2025,213634,21.087467350702603,41.49065150606476
Jimena de la Frontera,2025,392,156.0,2025,6719,23.217740735228457,20.06149187511381
"Línea de la Concepción, La",2025,2603,1190.0,2025,64499,18.449898448037953,29.3974636685292
Medina Sidonia,2025,548,236.0,2025,11838,19.935799966210507,19.56686407601107
Olvera,2025,417,189.0,2025,7842,24.100994644223412,22.326504238919888
Paterna de Rivera,2025,238,118.0,2025,5539,21.303484383462717,16.113505981934125
Prado del Rey,2025,359,166.0,2025,5692,29.16373858046381,26.666145919162332
"Puerto de Santa María, El",2025,5132,1800.0,2025,89983,20.003778491492834,33.91815340220195
Puerto Real,2025,1729,737.0,2025,42527,17.33016671761469,24.86822599190307
Puerto Serrano,2025,180,105.0,2025,6877,15.268285589646649,9.032594058252041
Rota,2025,1533,647.0,2025,29289,22.090204513639932,28.890472410361106
San Fernando,2025,3448,1310.0,2025,93338,14.035012535087532,25.493088722654566
Sanlúcar de Barrameda,2025,3555,1505.0,2025,70012,21.496314917442724,34.20826215971917
San Roque,2025,2511,719.0,2025,34310,20.955989507432236,28.455581914490082
Setenil de las Bodegas,2025,153,92.0,2025,2634,34.92786636294609,
Tarifa,2025,1374,623.0,2025,18613,33.471229785633696,40.430604149386355
Torre Alháquime,2025,23,,2025,781,,
Trebujena,2025,312,145.0,2025,6999,20.717245320760107,16.953692812392177
Ubrique,2025,1035,332.0,2025,16615,19.981944026482097,22.013730743571543
Vejer de la Frontera,2025,941,424.0,2025,13131,32.29000076155662,36.50045668040591
Villaluenga del Rosario,2025,18,,2025,463,,
Villamartín,2025,614,277.0,2025,12184,22.734734077478663,23.59620499310413
Zahara,2025,65,33.0,2025,1344,24.553571428571427,
Benalup-Casas Viejas,2025,366,157.0,2025,7236,21.69707020453289,18.528975553010902
San José del Valle,2025,210,108.0,2025,4419,24.43991853360489,
Atzeneta del Maestrat,2025,94,36.0,2025,1284,28.037383177570092,
Aín,2025,13,,2025,133,,
Albocàsser,2025,96,41.0,2025,1370,29.927007299270073,
