nombre,subsector,cnae,ing_2024,ing_2020,empleados,marge_ebitda,marge_ebit,marge_net,roa,ratio_personal,productivitat,cost_empleat,cagr,break_flag,quota_2024,rank_2024
Mercadona,Alimentació,4711,34059430.0,24649629.0,108742.0,6.970383826153285,4.893886949957765,4.063224193710817,9.386382101731186,12.578087771874044,313213.2018907138,39396.231446911035,8.419336983352977,False,34.51042640148949,1
Carrefour,Alimentació,4711,9452104.0,8491008.0,31922.0,2.1651369896057004,1.0526756794042893,3.034752897344337,8.462179531619448,9.312328768282702,296099.9937347284,27573.80489944239,2.7169961316072966,False,9.577263607500901,2
Alcampo,Alimentació,4711,4764087.0,3349271.0,19878.0,2.998748763404195,0.1867514174279353,-0.2196223536639864,-0.6787306834531907,11.591916772300758,239666.31451856325,27781.919710232418,9.208727989095644,False,4.827170442482239,3
Dia,Alimentació,4711,4369981.0,3871844.0,12938.0,5.557209516471582,2.954749688843041,1.9777202692643288,7.086235848190274,9.720934713446121,337763.25552635646,32833.74555572731,3.071933860849163,False,4.427845905712675,4
Consum,Alimentació,4711,4369435.0,3090362.0,22466.0,5.37723984908804,2.5831028496819384,2.4869805821576474,7.0297545307814975,15.671179454551904,194491.00863527108,30479.03498620137,9.044554379114622,False,4.427292675878376,5
Leroy Merlin,Bricolatge i ferreteria,4752,3624061.0,2354002.0,15459.0,4.414384857208529,3.3324494262099895,3.2417224765256436,8.163375916783346,15.325707817831985,234430.4935636199,35928.132479461805,11.390247239770357,False,3.6720488397782463,6
Mango,Moda i tèxtil,4771,2682678.0,1555796.0,6759.0,12.831469151348019,10.74105800248856,8.369509870360886,8.464405892779995,10.489294652582233,396904.5716822015,41632.49001331558,14.591914235312299,False,2.718200559372104,7
Bon Preu,Alimentació,4711,2637597.0,1788199.0,9698.0,4.545311508922705,2.1413051349391132,1.815023295825708,6.907014357090607,11.04285453767198,271973.2934625696,30033.615178387296,10.204200473083546,False,2.672522621350078,8
MediaMarkt,Electrodomèstics,4754,2549428.0,62826.0,5975.0,2.080976595534371,1.2631068616175865,1.971187262397683,5.134183070906364,6.947833004109157,426682.51046025107,29645.18828451883,,True,2.5831861355253607,9
Ahorramás,Alimentació,4711,2284342.0,1805559.0,12216.0,9.698197555357298,6.981135048955016,5.5392756426139345,9.302975296415807,15.641046743438592,186995.90700720367,29248.117223313686,6.056516937383694,False,2.3145900112489053,10
Bricoman,Bricolatge i ferreteria,4752,1977234.0,964360.0,6175.0,8.719504115344971,8.106627743605461,7.146953774818762,15.393480820785207,9.612367580165019,320199.83805668016,30778.785425101214,19.66157654714362,False,2.003415454560533,11
Ikea,Mobles i llar,4759,1957597.0,1474520.0,9560.0,8.68723235681297,5.970942946888456,6.84579103870715,12.138880686378055,13.241540521363692,204769.56066945606,27114.644351464434,7.341622577465712,False,1.9835184321134154,12
Decathlon,Esports,4764,1900409.0,1554987.0,10850.0,5.998340357259938,4.723772619472967,3.7594012657275355,11.987489681000289,14.177106086110939,175152.90322580645,24831.612903225807,5.142930899413911,False,1.925573179798612,13
Primark,Moda i tèxtil,4771,1855181.0,1158766.0,7058.0,4.09970779131524,2.3117420887773217,2.17105500757069,3.1281211701349356,11.297226523988764,262847.9739302919,29694.531028620007,12.485783064368118,False,1.879746295282736,14
Bershka,Moda i tèxtil,4771,1753969.0,1133094.0,3134.0,9.292296500109181,8.263372955850418,6.858559073735054,19.668810178985733,7.626018475811145,559658.2641991066,42679.64262922783,11.542145376244783,False,1.7771941011635872,15
Stradivarius,Moda i tèxtil,4771,1733531.0,904023.0,4422.0,13.083584891184524,12.058336424326994,9.106326913103947,29.15819318612104,9.747446108549545,392024.19719583896,38212.3473541384,17.676036724794074,False,1.7564854723112064,16
Dinosol Supermercados SL,Alimentació,4711,1705935.0,1186970.0,9848.0,7.844261358140843,5.379161574151419,4.617995410141653,9.735914252770435,12.615955473098332,173226.54346060113,21854.183590576766,9.49157027373888,False,1.7285240611256554,17
Vego Supermercados SA,Alimentació,4711,1516764.0,1095272.0,6533.0,5.0817398092254304,3.6916751716153597,2.867552236208138,14.168026659109342,11.766431692735322,232169.6004898209,27318.077452931273,8.47983269672552,False,1.5368481618872896,18
Alimerka,Alimentació,4711,848684.0,716288.0,6149.0,5.286066427551362,2.804341780921992,2.4030145495850044,5.010810810810811,16.01997916774677,138019.8406244918,22110.749715400878,4.331291815419269,False,0.859921810791364,19
Caprabo,Alim. especialitzada,4729,762825.0,838209.0,4559.0,1.4718972241339758,-2.7935633992068953,-2.9287189066955066,-8.847780629217755,15.475108969947234,167322.87782408422,25893.397674928714,-2.3284343235047467,False,0.7729259127271425,20
Sprinter,Esports,4764,681871.0,413659.0,8181.0,9.115800495988244,6.523961277133066,4.968535104147265,8.750419712271096,18.449530776349192,83348.12370125901,15377.337733773378,13.309137993227349,False,0.6908999639985178,21
Distribucion Supermercados SL,Alimentació,4711,680638.0,541972.0,2940.0,6.3129005433137735,3.83184600330866,2.440210508375965,8.275618092855932,14.62730555743288,231509.52380952382,33863.60544217687,5.86071805719488,False,0.689650637284799,22
Casa Ametller,Alimentació,4711,603423.0,,3024.0,6.835834895255899,4.760673689932269,3.939690731046049,11.707896045821,14.813157602544152,199544.64285714287,29558.862433862432,,False,0.6114131983555213,23
Supermercados Champion SA,Alimentació,4711,596832.0,511451.0,3173.0,8.929313441638518,7.197000160849284,5.973372741407967,12.032346359853253,13.87174280199453,188097.06901985503,26092.341632524425,3.935047071941944,False,0.6047349239271994,24
Apple Store,Informàtica/electrònica,4741,580092.0,372610.0,1072.0,4.512042917330354,3.202940223274929,2.7107769112485602,8.760299270764277,11.797094254014882,541130.5970149253,63837.68656716418,11.701908272933203,False,0.5877732619745204,25
PcComponentes,Informàtica/electrònica,4741,561840.0,648047.0,564.0,2.636337747401395,1.827210593763349,1.854442545920547,4.842375315458513,3.5266267976648153,996170.2127659575,35131.205673758865,-3.505727157222538,False,0.5692795789422447,26
Aldi,Alimentació,4711,529633.0,424958.0,1505.0,0.5126191155007336,-1.6534090587255703,-1.4861234099838945,-5.69903917863168,7.785391016043184,351915.6146179402,27398.00664451827,5.659185109791731,False,0.5366461114087958,27
H&M,Moda i tèxtil,4771,518150.0,410505.0,2956.0,6.475151983016501,3.5086364952233913,2.9892888159799282,6.460183265835562,25.01669400752678,175287.550744249,43851.150202977,5.994727533404665,False,0.525011059783789,28
JD Sports,Esports,4764,445119.0,154013.0,2869.0,5.526611984660282,3.951078250984568,3.0039158067842533,9.910243772281557,14.01625183377928,155147.7866852562,21745.904496340187,30.385617467655756,False,0.4510130231012263,29
Tous,Joieria,4777,424049.0,229045.0,1716.0,17.60456928326679,13.549141726545752,10.870913502920653,11.955712666602693,13.010996370702443,247114.80186480188,32152.097902097903,16.64706261137805,False,0.42966402564943734,30
Euro Depot España SAU,No especialitzat,4719,411660.0,319150.0,1758.0,0.7343438760141864,-0.6114269056988777,-0.7326434436185202,-1.2917539328681993,14.729874168002722,234163.82252559726,34492.03640500569,6.570242800031578,False,0.41711097726641827,31
