pais,pais_codi,any,indic_sbs,sizeclas,valor
Suecia,SE,2023,EMP_NR,GE10,267985
Suecia,SE,2023,ENT_NR,0,34427
Suecia,SE,2023,ENT_NR,1-4,12674
Suecia,SE,2023,ENT_NR,5-9,3768
Suecia,SE,2023,ENT_NR,GE10,3702
Eslovenia,SI,2021,EMP_NR,0,3427
Eslovenia,SI,2021,EMP_NR,1-4,6460
Eslovenia,SI,2021,EMP_NR,5-9,3316
Eslovenia,SI,2021,EMP_NR,GE10,48263
Eslovenia,SI,2021,ENT_NR,0,3731
Eslovenia,SI,2021,ENT_NR,1-4,3284
Eslovenia,SI,2021,ENT_NR,5-9,502
Eslovenia,SI,2021,ENT_NR,GE10,406
Eslovenia,SI,2022,EMP_NR,0,3466
Eslovenia,SI,2022,EMP_NR,1-4,6519
Eslovenia,SI,2022,EMP_NR,5-9,3375
Eslovenia,SI,2022,EMP_NR,GE10,48671
Eslovenia,SI,2022,ENT_NR,0,3780
Eslovenia,SI,2022,ENT_NR,1-4,3300
Eslovenia,SI,2022,ENT_NR,5-9,509
Eslovenia,SI,2022,ENT_NR,GE10,418
Eslovenia,SI,2023,EMP_NR,0,3502
Eslovenia,SI,2023,EMP_NR,1-4,6360
Eslovenia,SI,2023,EMP_NR,5-9,3437
Eslovenia,SI,2023,EMP_NR,GE10,48631
Eslovenia,SI,2023,ENT_NR,0,3817
Eslovenia,SI,2023,ENT_NR,1-4,3253
Eslovenia,SI,2023,ENT_NR,5-9,514
Eslovenia,SI,2023,ENT_NR,GE10,424
Eslovaquia,SK,2021,EMP_NR,0,36628
Eslovaquia,SK,2021,EMP_NR,1-4,30325
Eslovaquia,SK,2021,EMP_NR,5-9,16273
Eslovaquia,SK,2021,EMP_NR,GE10,96564
Eslovaquia,SK,2021,ENT_NR,0,36627
Eslovaquia,SK,2021,ENT_NR,1-4,13756
Eslovaquia,SK,2021,ENT_NR,5-9,2471
Eslovaquia,SK,2021,ENT_NR,GE10,1331
Eslovaquia,SK,2022,EMP_NR,0,38619
Eslovaquia,SK,2022,EMP_NR,1-4,29835
Eslovaquia,SK,2022,EMP_NR,5-9,16234
Eslovaquia,SK,2022,EMP_NR,GE10,97431
Eslovaquia,SK,2022,ENT_NR,0,38618
Eslovaquia,SK,2022,ENT_NR,1-4,13464
Eslovaquia,SK,2022,ENT_NR,5-9,2471
Eslovaquia,SK,2022,ENT_NR,GE10,1321
Eslovaquia,SK,2023,EMP_NR,0,42301
Eslovaquia,SK,2023,EMP_NR,1-4,28868
Eslovaquia,SK,2023,EMP_NR,5-9,15616
Eslovaquia,SK,2023,EMP_NR,GE10,97530
Eslovaquia,SK,2023,ENT_NR,0,42300
Eslovaquia,SK,2023,ENT_NR,1-4,13144
Eslovaquia,SK,2023,ENT_NR,5-9,2382
Eslovaquia,SK,2023,ENT_NR,GE10,1291
