sector,any,valor
Industria manufacturera,2023,31064.13
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2014,22858.17
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2015,23106.3
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2016,23156.34
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2017,23646.5
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2018,24009.12
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2019,24395.98
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2020,25165.51
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2021,25896.82
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2022,26948.87
"Industria, construcción y servicios (excepto actividades de los hogares como empleadores y de organizaciones y organismos extraterritoriales)",2023,28049.94
Industrias extractivas,2014,32971.21
Industrias extractivas,2015,32494.07
Industrias extractivas,2016,32400.69
Industrias extractivas,2017,32555.75
Industrias extractivas,2018,33990.57
Industrias extractivas,2019,34159.42
Industrias extractivas,2020,34424.68
Industrias extractivas,2021,34866.39
Industrias extractivas,2022,36308.58
Industrias extractivas,2023,38869.23
Información y comunicaciones,2014,32754.21
Información y comunicaciones,2015,33046.23
Información y comunicaciones,2016,32448.31
Información y comunicaciones,2017,33664.26
Información y comunicaciones,2018,33117.64
Información y comunicaciones,2019,34641.28
Información y comunicaciones,2020,35663.8
Información y comunicaciones,2021,36630.48
Información y comunicaciones,2022,37438.55
Información y comunicaciones,2023,39674.43
Otros servicios,2014,16225.41
Otros servicios,2015,16033.97
Otros servicios,2016,15782.15
Otros servicios,2017,16202.92
Otros servicios,2018,16374.23
Otros servicios,2019,17066.82
Otros servicios,2020,17468.15
Otros servicios,2021,18220.77
Otros servicios,2022,18269.96
Otros servicios,2023,19751.59
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2014,25959.23
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2015,26340.27
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2016,26319.91
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2017,26937.32
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2018,27289.63
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,27486.42
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,27854.25
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,29277.93
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2022,30444.93
"Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2023,30957.29
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2014,51034.67
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2015,51919.72
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2016,50992.09
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2017,52014.79
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2018,51237.33
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2019,52162.53
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2020,53775.71
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2021,52985.83
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2022,55470.69
"Suministro de energía eléctrica, gas, vapor y aire acondicionado",2023,54447.96
Transporte y almacenamiento,2014,23604.85
Transporte y almacenamiento,2015,23937.81
Transporte y almacenamiento,2016,23611.32
Transporte y almacenamiento,2017,24079.84
Transporte y almacenamiento,2018,24653.86
Transporte y almacenamiento,2019,24368.8
Transporte y almacenamiento,2020,25033.4
Transporte y almacenamiento,2021,25545.48
Transporte y almacenamiento,2022,27354.39
Transporte y almacenamiento,2023,27687.67
