serie_id,ambit,tipus,branca,indicador,any,mes,data,valor
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2018,8,2018-08-01,97.618
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2018,9,2018-09-01,93.402
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2018,10,2018-10-01,98.554
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2018,11,2018-11-01,99.362
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2018,12,2018-12-01,116.13
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,1,2019-01-01,99.58
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,2,2019-02-01,84.002
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,3,2019-03-01,93.898
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,4,2019-04-01,95.264
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,5,2019-05-01,98.874
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,6,2019-06-01,98.891
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,7,2019-07-01,108.802
