any,xifra_negoci_constants,valor_afegit_constants,personal_ocupat,hores_treballades,productivitat_va_hora,productivitat_xn_hora,gastos_personal,gastos_personal_constants,quota_salarial,excedent_brut,cost_laboral_per_ocupat,cost_laboral_hora,cogs,cogs_constants,serveis_exteriors,serveis_exteriors_constants,marge_brut
2018,239886799000.0,46306048000.0,1738217.0,2051022000.0,22.577060606858435,116.95964207112357,29972915000.0,29972915000.0,0.6472786233020792,16333133000.0,17243.482833271104,14.613648707814933,171080779000.0,171080779000.0,24880508000.0,24880508000.0,0.28682703794801145
2019,243827145801.4722,47923383827.3404,1756389.0,2079338000.0,23.047423664329898,117.26191018558416,31622702000.0,31403031827.530514,0.6552757614251564,16635915000.0,18004.383994661774,15.102418090531945,173853990000.0,172646296363.70642,25920190000.0,25740132881.29642,0.29193160262689666
2020,233844927434.67892,44253919417.07409,1706021.0,1880123000.0,23.53777886716672,124.37746223767218,29933032000.0,29821348586.74721,0.6738690940726373,14486622000.0,17545.52376553395,15.861381721699704,166700155000.0,166078178505.93256,24604321000.0,24512519589.770416,0.2897935382741026
2021,246464951804.46683,49300612567.007866,1683170.0,2003430000.0,24.608103386196607,123.02149403995489,31858060000.0,30786913270.272274,0.6244732401332267,19157833000.0,18927.416719642104,15.367102055111621,181713172000.0,175603525965.8017,25721573000.0,24856750132.493225,0.28751116667851057
2022,257273975204.94998,48236502341.82525,1714439.0,2090611000.0,23.07292095077719,123.0616194045425,34499530000.0,30758735348.231087,0.6376651260960227,19603366000.0,20122.92650832138,14.712797047480898,207886333000.0,185345153956.04633,29374451000.0,26189370240.94479,0.27958063458071736
2023,260944545086.05835,49582696420.9432,1709138.0,2119220000.0,23.396672559216693,123.13235298178498,36635478000.0,31548668868.66132,0.636283847913836,20941778000.0,21435.06141692479,14.886924844358452,217423956000.0,187234799883.28223,30780059000.0,26506270483.18733,0.2824728341359539
2024,274291758032.5479,54037291795.961105,1767412.0,2191738000.0,24.654996078893145,125.14805968256603,40280816000.0,33751526850.72663,0.6245969353565812,24210080000.0,22790.84672956843,15.399434992105183,232432336000.0,194756387990.7774,33120184000.0,27751592211.463802,0.28996631401637923
